Country,Date,Celsius
Italy,2017-03-15,12
Italy,2017-03-16,10
Italy,2017-03-17,11
Italy,2017-03-18,11
Italy,2017-03-19,13
Italy,2017-03-20,13
Italy,2017-03-21,14
Italy,2017-03-22,12
Italy,2017-03-23,11
Italy,2017-03-24,10
Italy,2017-03-25,13
Italy,2017-03-26,11
Italy,2017-03-27,11
Italy,2017-03-28,10
Italy,2017-03-29,13
Italy,2017-03-30,14
Italy,2017-03-31,15
Italy,2017-04-01,14
Italy,2017-04-02,13
Italy,2017-04-03,15
Italy,2017-04-04,15
Italy,2017-04-05,13
Italy,2017-04-06,14
Italy,2017-04-07,14
Italy,2017-04-08,14
Italy,2017-04-09,15
Italy,2017-04-10,16
Italy,2017-04-11,16
Italy,2017-04-12,16
Italy,2017-04-13,16
Italy,2017-04-14,15
Italy,2017-04-15,15
Italy,2017-04-16,16
Italy,2017-04-17,13
Italy,2017-04-18,10
Italy,2017-04-19,10
Italy,2017-04-20,10
Italy,2017-04-21,10
Italy,2017-04-22,12
Italy,2017-04-23,14
Italy,2017-04-24,13
Italy,2017-04-25,13
Italy,2017-04-26,11
Italy,2017-04-27,11
Italy,2017-04-28,10
Italy,2017-04-29,10
Italy,2017-04-30,12
Italy,2017-05-01,9
Italy,2017-05-02,9
Italy,2017-05-03,11
Italy,2017-05-04,11
Italy,2017-05-05,13
Italy,2017-05-06,12
Italy,2017-05-07,13
Italy,2017-05-08,16
Italy,2017-05-09,17
Italy,2017-05-10,15
Italy,2017-05-11,13
Italy,2017-05-12,15
Italy,2017-05-13,17
Italy,2017-05-14,18
Italy,2017-05-15,19
Italy,2017-05-16,20
Italy,2017-05-17,21
Italy,2017-05-18,21
Italy,2017-05-19,16
Italy,2017-05-20,16
Italy,2017-05-21,18
Italy,2017-05-22,19
Italy,2017-05-23,21
Italy,2017-05-24,23
Italy,2017-05-25,22
Italy,2017-05-26,21
Italy,2017-05-27,22
Italy,2017-05-28,23
Italy,2017-05-29,23
